Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset
Bautista Agut R.,16.0,83,41,55,25,65,33,2,1,1.0,3293.0,44,42,0,7,1.53,Coric B.,49.0,78,81,47,52,69,67,5,3,1.0,2771.0,53,46,2,5,2.37,2,0,1.0
Verdasco F.,39.0,144,127,66,72,118,106,8,5,1.0,5895.0,107,96,8,1,1.53,Fritz T.,74.0,33,37,30,28,32,30,4,2,2.0,2147.0,19,24,0,2,2.37,1,0,1.0
Anderson K.,9.0,183,116,127,79,137,96,10,4,3.0,3787.0,146,112,6,6,1.08,Kicker N.,94.0,17,20,4,6,14,16,2,0,3.0,2054.0,10,7,1,0,8.0,0,0,0.0
Thiem D.,6.0,182,106,81,67,145,89,8,4,3.0,4566.0,115,89,3,1,1.22,Cuevas P.,34.0,107,89,30,46,95,72,5,3,3.0,2476.0,74,79,2,2,4.0,2,1,1.0
Berdych T.,15.0,244,109,167,74,178,89,11,5,3.0,3009.0,127,102,4,2,1.66,Chung H.,26.0,49,46,34,33,39,38,1,1,2.0,2188.0,22,33,1,8,2.1,2,0,1.0
Monfils G.,42.0,172,91,108,53,130,73,8,3,2.0,3425.0,108,65,7,6,1.28,Herbert P.H.,93.0,30,47,22,32,23,35,3,1,2.0,2145.0,36,44,1,4,3.5,0,0,1.0
Cilic M.,3.0,205,98,132,61,147,80,7,5,1.0,5695.0,138,85,9,7,1.2,Kohlschreiber P.,37.0,162,118,74,66,139,98,4,5,2.0,1740.0,102,89,1,1,4.33,1,1,1.0
Mayer L.,47.0,90,90,30,41,72,73,6,2,2.0,1562.0,68,60,2,1,1.44,Daniel T.,109.0,15,37,5,16,12,28,2,0,2.0,2919.0,15,21,2,2,2.62,0,0,0.0
Del Potro J.M.,8.0,133,51,110,38,110,42,8,3,1.0,3601.0,80,46,1,2,1.14,Ferrer D.,33.0,234,112,132,68,180,92,2,2,2.0,2218.0,103,96,5,7,5.5,4,0,0.0
Raonic M.,38.0,203,92,136,60,146,73,15,4,1.0,1597.0,155,102,6,5,1.28,Sousa J.,85.0,122,145,68,83,105,126,4,4,1.0,5200.0,74,78,5,4,3.5,2,0,0.0
Querrey S.,21.0,139,113,89,75,111,92,5,5,2.0,3047.0,105,102,5,4,1.36,Bhambri Y.,110.0,10,11,10,11,10,8,2,0,2.0,2993.0,3,8,0,0,3.0,0,0,0.0
Sela D.,97.0,52,70,37,47,41,52,2,2,3.0,2237.0,34,36,4,2,2.75,Baghdatis M.,102.0,97,94,73,62,80,74,3,2,2.0,2784.0,69,61,3,6,1.4,0,1,1.0
Sock J.,10.0,146,93,107,68,124,75,9,5,2.0,3338.0,100,82,3,4,1.5,Lopez F.,32.0,163,124,88,77,129,103,9,5,3.0,1821.0,136,103,7,1,2.5,2,1,1.0
Coric B.,49.0,79,81,48,52,70,67,6,3,2.0,3281.0,53,46,2,5,1.4,Fritz T.,74.0,34,37,31,28,33,30,5,2,2.0,1974.0,20,24,0,2,3.0,1,0,0.0
Chung H.,26.0,50,46,35,33,40,38,2,1,1.0,3842.0,22,33,1,8,1.3,Cuevas P.,34.0,108,89,31,46,96,72,6,3,1.0,5120.0,74,79,2,2,3.5,0,0,0.0
Kohlschreiber P.,37.0,163,118,75,66,140,98,5,5,1.0,6160.0,102,89,1,1,1.44,Herbert P.H.,93.0,31,47,23,32,24,35,4,1,1.0,1830.0,36,44,1,4,2.75,3,1,0.0
Anderson K.,9.0,184,116,128,79,138,96,11,4,1.0,3689.0,148,112,6,6,1.36,Carreno Busta P.,14.0,75,47,40,25,58,40,6,1,2.0,3239.0,54,33,3,4,3.25,2,0,0.0
Federer R.,1.0,262,52,179,31,178,37,21,3,2.0,11563.0,140,68,10,6,1.03,Chardy J.,100.0,121,125,73,74,91,105,5,5,2.0,2295.0,102,89,5,4,15.0,3,1,0.0
Del Potro J.M.,8.0,134,51,111,38,111,42,9,3,2.0,4525.0,81,46,1,2,1.1,Mayer L.,47.0,91,90,31,41,73,73,7,2,2.0,1583.0,68,60,2,1,7.0,0,0,0.0
Querrey S.,21.0,140,113,90,75,112,92,6,5,2.0,2633.0,105,103,5,4,1.44,Lopez F.,32.0,164,124,89,77,130,103,10,5,1.0,3990.0,137,103,7,1,2.75,2,3,0.0
Raonic M.,38.0,204,92,137,60,147,73,16,4,2.0,1930.0,156,102,6,5,1.44,Baghdatis M.,102.0,98,94,74,62,81,74,4,2,1.0,1159.0,70,61,3,6,2.75,1,0,0.0
Anderson K.,9.0,185,116,129,79,139,96,12,4,1.0,5395.0,149,112,6,6,1.5,Coric B.,49.0,80,81,49,52,71,67,7,3,1.0,1740.0,53,47,2,5,2.62,3,0,1.0
Federer R.,1.0,263,52,180,31,179,37,22,3,2.0,10640.0,141,68,10,6,1.14,Chung H.,26.0,51,46,36,33,41,38,3,1,2.0,2877.0,22,33,1,8,5.5,1,0,0.0
Querrey S.,21.0,141,113,91,75,113,92,7,5,1.0,3435.0,105,103,5,4,1.72,Raonic M.,38.0,205,92,138,60,148,73,17,4,1.0,1834.0,156,102,6,5,2.1,1,2,1.0
Del Potro J.M.,8.0,135,51,112,38,112,42,10,3,1.0,4244.0,82,46,1,2,1.25,Kohlschreiber P.,37.0,164,118,76,66,141,98,6,5,2.0,1900.0,103,89,1,1,4.0,1,2,0.0
Federer R.,1.0,264,52,181,31,180,37,23,3,1.0,11627.0,142,68,10,6,1.07,Coric B.,49.0,81,81,50,52,72,67,8,3,2.0,4106.0,54,47,2,5,9.0,1,0,0.0
Del Potro J.M.,8.0,136,51,113,38,113,42,11,3,1.0,4490.0,82,46,1,2,1.44,Raonic M.,38.0,206,92,139,60,149,73,18,4,1.0,3365.0,157,102,6,5,2.75,1,2,0.0
Federer R.,1.0,265,52,182,31,181,37,24,3,1.0,11086.0,142,69,10,6,1.33,Del Potro J.M.,8.0,137,51,114,38,114,42,12,3,1.0,4470.0,82,46,1,2,3.4,5,2,1.0
Sugita Y.,43.0,31,43,17,29,28,36,0,0,13.0,2053.0,26,26,0,2,1.83,Haase R.,44.0,104,123,51,69,97,102,2,4,21.0,1701.0,75,92,2,3,1.83,0,0,1.0
Harrison R.,53.0,61,82,54,60,53,67,1,4,12.0,1745.0,47,61,1,1,1.8,Sousa J.,80.0,122,146,68,84,105,127,3,5,8.0,1930.0,74,79,5,4,1.9,0,1,1.0
Vesely J.,64.0,83,101,35,52,69,82,3,4,12.0,1459.0,65,74,4,3,1.72,Lacko L.,104.0,38,67,31,49,31,50,1,3,13.0,1182.0,28,37,2,4,2.0,0,0,0.0
Struff J.L.,56.0,64,94,40,47,60,76,3,2,11.0,1331.0,45,71,1,5,1.22,Ymer M.,407.0,1,7,1,5,1,7,0,1,154.0,1559.0,1,6,0,0,4.0,0,0,1.0
Fucsovics M.,60.0,12,16,10,9,9,12,0,0,9.0,5695.0,7,12,0,7,1.66,Marterer M.,73.0,5,18,5,9,3,16,0,0,11.0,3009.0,7,13,1,0,2.1,0,0,1.0
Fritz T.,71.0,34,38,31,29,33,31,2,2,7.0,1740.0,21,24,0,2,1.53,Herbert P.H.,81.0,31,48,23,33,24,36,0,0,7.0,1900.0,36,45,1,4,2.37,0,0,1.0
Simon G.,72.0,158,124,102,77,124,104,8,5,12.0,1375.0,94,78,9,5,1.36,Ebden M.,76.0,22,55,14,36,18,45,1,1,12.0,1905.0,13,28,1,1,3.0,0,0,1.0
Gojowczyk P.,50.0,35,30,28,22,31,23,0,0,11.0,1611.0,25,23,0,1,2.25,Millman J.,96.0,32,42,27,33,24,30,1,1,41.0,1631.0,24,34,2,4,1.57,0,0,1.0
Mmoh M.,176.0,2,8,2,7,2,6,0,2,75.0,544.0,0,4,0,0,1.4,Eubanks C.,284.0,2,5,2,5,2,4,0,0,205.0,854.0,2,2,0,0,2.75,0,0,0.0
Chardy J.,90.0,121,126,73,75,91,106,4,5,7.0,10640.0,102,90,5,4,1.25,Dutra Silva R.,115.0,15,44,5,13,12,33,0,1,19.0,1274.0,17,17,3,3,3.75,0,0,0.0
Jarry N.,65.0,11,11,1,4,11,8,0,1,17.0,2713.0,9,15,0,0,2.37,Norrie C.,105.0,2,7,1,4,1,5,0,0,12.0,1068.0,3,1,0,0,1.53,0,0,0.0
Paire B.,47.0,128,134,72,77,105,114,3,3,12.0,1303.0,90,82,8,1,1.72,Zverev M.,55.0,56,66,38,46,46,61,0,1,10.0,3047.0,38,55,4,0,2.0,1,1,0.0
Fratangelo B.,109.0,14,23,8,16,12,15,0,1,36.0,1131.0,9,11,0,1,1.53,Broady L.,169.0,3,5,2,1,2,3,0,0,180.0,1102.0,0,3,1,0,2.37,0,0,1.0
Pospisil V.,77.0,76,97,58,68,66,79,2,3,11.0,1035.0,64,85,4,3,2.0,Karlovic I.,79.0,141,113,85,74,121,94,2,3,13.0,1414.0,180,162,6,5,1.72,3,1,0.0
Pella G.,61.0,47,63,21,30,42,50,3,4,12.0,2140.0,44,54,2,7,1.44,Youzhny M.,102.0,95,117,54,67,75,97,3,4,12.0,1264.0,58,58,4,7,2.62,0,1,1.0
Donaldson J.,49.0,40,48,34,38,35,40,3,2,10.0,3293.0,26,36,0,7,1.72,Baghdatis M.,82.0,98,95,74,63,81,75,3,3,6.0,1834.0,70,61,3,6,2.0,0,0,0.0
Shapovalov D.,46.0,17,17,16,15,13,14,0,0,12.0,2476.0,15,17,0,6,1.4,Troicki V.,68.0,119,111,75,72,93,95,4,4,13.0,1615.0,78,76,8,1,2.75,0,1,0.0
De Minaur A.,130.0,10,9,10,8,9,5,0,0,10.0,3601.0,5,4,1,0,1.4,Nishioka Y.,374.0,21,28,21,25,18,20,3,2,13.0,761.0,4,14,2,0,2.75,0,0,1.0
King D.,172.0,3,6,3,6,3,5,1,1,30.0,981.0,3,3,0,0,1.5,Kuhn N.,211.0,0,1,0,1,0,1,0,0,177.0,1051.0,0,2,0,0,2.5,0,0,1.0
Mayer L.,45.0,91,91,31,42,73,74,1,3,7.0,4244.0,68,61,2,1,1.4,Young D.,110.0,85,95,68,70,71,77,5,4,14.0,1612.0,54,42,3,7,2.75,1,1,0.0
Fabbiano T.,86.0,11,30,9,21,9,23,0,0,10.0,3338.0,9,18,1,0,1.5,Basilashvili N.,89.0,34,50,21,32,27,40,0,1,12.0,1559.0,27,30,1,6,2.5,0,1,1.0
Bedene A.,48.0,71,86,31,41,64,67,4,4,26.0,2948.0,47,57,3,0,1.57,Donskoy E.,88.0,37,73,31,48,28,58,0,2,12.0,3787.0,29,47,2,4,2.25,0,0,1.0
Sandgren T.,58.0,8,12,7,6,4,9,0,0,11.0,2218.0,7,7,1,0,1.61,Garcia-Lopez G.,69.0,109,124,48,67,93,105,3,3,20.0,2765.0,73,84,2,1,2.2,0,0,1.0
Medvedev D.,52.0,37,32,27,21,35,27,0,0,10.0,3239.0,23,25,0,2,1.72,Tsitsipas S.,70.0,9,17,9,14,9,14,0,0,12.0,4566.0,8,17,0,0,2.0,0,0,0.0
Zeballos H.,66.0,56,78,19,29,51,64,5,4,11.0,3128.0,42,57,1,4,1.9,Lajovic D.,108.0,65,90,24,41,55,74,2,4,11.0,2188.0,43,64,1,6,1.8,1,0,1.0
Basic M.,75.0,15,8,13,5,14,7,0,0,39.0,1044.0,11,5,0,0,2.62,Bhambri Y.,107.0,10,12,10,12,10,9,0,0,9.0,2633.0,4,8,0,0,1.44,1,0,1.0
Johnson S.,54.0,121,113,82,78,103,92,1,4,14.0,1899.0,91,94,5,3,1.1,Estrella Burgos V.,152.0,45,62,9,26,39,47,0,2,12.0,1401.0,39,37,1,0,7.0,0,0,0.0
Albot R.,93.0,16,43,7,28,12,33,0,1,14.0,1399.0,21,21,1,2,2.1,Berankis R.,103.0,45,67,39,42,39,50,0,2,13.0,1714.0,33,47,2,3,1.66,0,0,0.0
Hemery C.,150.0,1,4,0,2,1,4,0,0,43.0,859.0,0,3,0,0,3.0,Kokkinakis T.,175.0,20,32,15,22,16,23,0,1,21.0,1569.0,23,22,2,3,1.36,0,0,1.0
Kukushkin M.,83.0,60,91,45,57,48,72,4,4,12.0,1590.0,47,51,1,1,1.57,Copil M.,84.0,24,39,17,22,23,33,0,1,13.0,1089.0,22,24,0,0,2.25,1,0,1.0
Istomin D.,85.0,102,117,63,72,84,97,3,5,23.0,1913.0,76,77,4,6,1.72,Kecmanovic M.,179.0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,0,2.0,0,0,0.0
Tiafoe F.,63.0,16,33,15,26,14,25,1,1,14.0,1325.0,15,26,0,7,1.28,Kicker N.,87.0,17,21,4,7,14,17,0,0,10.0,3689.0,10,9,1,0,3.5,0,0,0.0
Goffin D.,9.0,169,111,115,73,139,92,10,5,34.0,7825.0,86,89,4,6,1.28,Sousa J.,80.0,123,146,69,84,106,127,4,5,2.0,1625.0,76,79,5,4,3.5,4,0,1.0
Bautista Agut R.,15.0,83,42,55,26,65,34,2,1,11.0,3281.0,44,42,0,7,1.14,Mmoh M.,176.0,3,8,3,7,3,6,1,2,2.0,489.0,0,4,0,0,5.5,0,0,1.0
Krajinovic F.,27.0,21,28,18,21,20,22,1,1,11.0,11563.0,10,17,0,0,1.25,Broady L.,169.0,4,5,3,1,3,3,1,0,2.0,849.0,1,3,1,0,3.75,0,0,0.0
Schwartzman D.,16.0,80,79,38,33,67,64,2,3,11.0,2784.0,48,53,2,5,1.33,Jarry N.,65.0,12,11,2,4,12,8,1,1,2.0,1385.0,10,15,0,0,3.25,1,0,0.0
Raonic M.,25.0,206,93,139,61,149,74,10,5,6.0,4470.0,157,102,6,5,1.12,Ymer M.,407.0,2,7,2,5,2,7,1,1,2.0,1007.0,2,6,0,0,6.0,0,0,0.0
Cilic M.,3.0,205,99,132,62,147,81,4,4,10.0,6160.0,138,85,9,7,1.18,Herbert P.H.,81.0,32,48,24,33,25,36,1,0,2.0,1434.0,37,45,1,4,4.5,1,0,0.0
Gasquet R.,37.0,188,99,133,70,141,79,8,3,24.0,2286.0,105,80,6,4,2.0,Chardy J.,90.0,122,126,74,75,92,106,5,5,2.0,1136.0,103,90,5,4,1.72,2,0,1.0
Nishikori K.,33.0,222,87,147,58,169,68,17,5,24.0,2716.0,106,68,9,7,1.44,Millman J.,96.0,33,42,28,33,25,30,2,1,2.0,1598.0,24,34,2,4,2.62,0,0,0.0
Djokovic N.,12.0,312,41,211,26,206,28,20,1,12.0,2919.0,138,66,10,4,1.2,Paire B.,47.0,129,134,73,77,106,114,4,3,2.0,2007.0,90,82,8,1,4.33,1,0,1.0
Rublev A.,34.0,36,38,25,27,28,32,2,3,13.0,2147.0,24,25,2,6,1.44,Pospisil V.,77.0,77,97,59,68,67,79,3,3,2.0,1367.0,66,85,4,3,2.62,0,0,1.0
Lopez F.,32.0,164,125,89,78,130,104,1,4,8.0,3435.0,137,103,7,1,2.37,Donaldson J.,49.0,41,48,35,38,36,40,4,2,2.0,1708.0,26,36,0,7,1.53,0,1,1.0
Chung H.,23.0,51,47,36,34,41,39,1,3,7.0,11627.0,22,34,1,8,1.16,Ebden M.,76.0,23,55,15,36,19,45,2,1,2.0,1445.0,14,29,1,1,5.0,0,0,0.0
Muller G.,28.0,107,86,69,62,92,69,1,4,12.0,2145.0,103,81,5,6,1.66,Youzhny M.,102.0,96,117,55,67,76,97,4,4,2.0,1454.0,60,58,4,7,2.1,3,0,1.0
Isner J.,17.0,187,113,130,75,151,93,8,5,12.0,3425.0,231,145,3,4,1.36,Vesely J.,64.0,84,101,36,52,70,82,4,4,2.0,1394.0,66,74,4,3,3.0,1,0,0.0
Del Potro J.M.,6.0,138,51,115,38,115,42,2,4,6.0,13260.0,83,47,1,2,1.16,Haase R.,44.0,105,123,52,69,98,102,3,4,3.0,2280.0,75,92,2,3,5.0,3,0,0.0
Dimitrov G.,4.0,216,112,153,76,173,91,5,5,13.0,5895.0,127,99,4,8,1.3,Marterer M.,73.0,6,18,6,9,4,16,1,0,3.0,1613.0,7,13,1,0,3.4,0,0,0.0
Coric B.,36.0,81,82,50,53,72,68,3,3,7.0,11086.0,55,47,2,5,1.4,Mayer L.,45.0,92,91,32,42,74,74,2,3,2.0,1586.0,68,61,2,1,2.75,0,2,0.0
Dzumhur D.,30.0,71,65,53,42,59,50,4,3,14.0,2054.0,41,31,3,2,2.5,Shapovalov D.,46.0,18,17,17,15,14,14,1,0,2.0,1866.0,16,18,0,6,1.5,0,0,1.0
Zverev A.,5.0,122,71,65,42,108,60,5,3,12.0,5200.0,83,61,3,9,1.36,Medvedev D.,52.0,38,32,28,21,36,27,1,0,2.0,1728.0,23,25,0,2,3.0,2,0,0.0
Edmund K.,26.0,57,61,42,37,41,47,1,4,13.0,2237.0,48,47,3,5,2.0,Tiafoe F.,63.0,17,33,16,26,15,25,2,1,1.0,1492.0,16,26,0,7,1.72,0,0,1.0
Ferrer D.,35.0,234,113,132,69,180,93,11,5,11.0,4525.0,103,97,5,7,1.44,Donskoy E.,88.0,38,73,32,48,29,58,1,2,2.0,1684.0,30,47,2,4,2.62,1,0,0.0
Berdych T.,13.0,244,110,167,75,178,90,17,5,11.0,3842.0,127,102,4,2,1.25,Nishioka Y.,374.0,22,28,22,25,19,20,4,2,2.0,537.0,4,14,2,0,3.75,1,1,0.0
Khachanov K.,41.0,51,46,28,32,43,40,0,2,15.0,1942.0,39,38,1,0,1.3,Copil M.,84.0,25,39,18,22,24,33,1,1,2.0,1326.0,23,24,0,0,3.4,0,0,0.0
Verdasco F.,39.0,144,128,66,73,118,107,5,5,12.0,1974.0,107,97,8,1,1.33,Garcia-Lopez G.,69.0,110,124,49,67,94,105,4,3,2.0,1682.0,75,84,2,1,3.25,4,1,0.0
Querrey S.,14.0,141,114,91,76,113,93,5,5,8.0,3365.0,105,104,5,4,1.18,Albot R.,93.0,17,43,8,28,13,33,1,1,2.0,1201.0,22,21,1,2,4.5,1,0,0.0
Federer R.,1.0,265,53,182,32,181,38,9,1,6.0,13260.0,143,70,10,6,1.08,Kokkinakis T.,175.0,21,32,16,22,17,23,1,1,2.0,693.0,23,22,2,3,8.0,0,0,1.0
Fognini F.,18.0,177,124,68,63,152,103,8,4,14.0,2770.0,98,71,6,3,1.18,Kuhn N.,211.0,1,1,1,1,1,1,1,0,2.0,582.0,1,2,0,0,4.5,0,0,0.0
Anderson K.,8.0,185,117,129,80,139,97,5,4,9.0,4106.0,149,113,6,6,1.1,Basilashvili N.,89.0,35,50,22,32,28,40,1,1,2.0,1296.0,28,30,1,6,7.0,0,0,0.0
Mannarino A.,22.0,121,129,77,85,99,108,8,4,12.0,2295.0,63,95,3,5,2.0,Johnson S.,54.0,122,113,83,78,104,92,2,4,2.0,1307.0,91,94,5,3,1.72,1,2,1.0
Sock J.,11.0,146,94,107,69,124,76,7,4,10.0,3990.0,100,83,3,4,1.61,Bhambri Y.,107.0,11,12,11,12,11,9,1,0,2.0,1247.0,5,8,0,0,2.2,0,0,0.0
Carreno Busta P.,19.0,75,48,40,26,58,41,0,1,10.0,5395.0,54,34,3,4,1.36,Istomin D.,85.0,103,117,64,72,85,97,4,5,2.0,975.0,77,77,4,6,3.0,2,1,0.0
Kyrgios N.,20.0,107,60,75,38,76,41,8,2,63.0,7250.0,87,61,4,5,1.28,Lajovic D.,108.0,66,90,25,41,56,74,3,4,3.0,1353.0,44,64,1,6,3.5,0,0,0.0
Chung H.,23.0,52,47,37,34,42,39,2,3,2.0,2417.0,23,34,1,8,1.1,Mmoh M.,176.0,4,8,4,7,4,6,2,2,2.0,2574.0,1,4,0,0,7.0,0,0,0.0
Donaldson J.,49.0,42,48,36,38,37,40,5,2,2.0,2458.0,26,36,0,7,1.57,Sousa J.,80.0,124,146,70,84,107,127,5,5,2.0,3870.0,76,79,5,4,2.25,0,0,1.0
Krajinovic F.,27.0,22,28,19,21,21,22,2,1,2.0,1865.0,10,17,0,0,1.57,Paire B.,47.0,130,134,74,77,107,114,5,3,2.0,3375.0,90,82,8,1,2.25,0,0,0.0
Cilic M.,3.0,206,99,133,62,148,81,5,4,2.0,5580.0,139,85,9,7,1.14,Pospisil V.,77.0,78,97,60,68,68,79,4,3,2.0,2080.0,67,85,4,3,5.5,2,0,0.0
Del Potro J.M.,6.0,139,51,116,38,116,42,3,4,1.0,5275.0,83,48,1,2,1.33,Nishikori K.,33.0,223,87,148,58,170,68,18,5,2.0,2028.0,107,68,9,7,3.25,1,2,0.0
Dimitrov G.,4.0,217,112,154,76,174,91,6,5,1.0,5342.0,127,99,4,8,1.33,Chardy J.,90.0,123,126,75,75,93,106,6,5,2.0,1945.0,104,90,5,4,3.25,2,0,1.0
Isner J.,17.0,188,113,131,75,152,93,9,5,2.0,3005.0,232,145,3,4,1.4,Youzhny M.,102.0,97,117,56,67,77,97,5,4,2.0,2089.0,60,58,4,7,2.75,1,0,0.0
Schwartzman D.,16.0,81,79,39,33,68,64,3,3,3.0,3050.0,48,53,2,5,2.2,Raonic M.,25.0,207,93,140,61,150,74,11,5,3.0,1722.0,157,102,6,5,1.61,0,1,1.0
Carreno Busta P.,19.0,76,48,41,26,59,41,1,1,2.0,2703.0,54,34,3,4,1.66,Johnson S.,54.0,123,113,84,78,105,92,3,4,2.0,2675.0,91,94,5,3,2.1,0,0,0.0
Verdasco F.,39.0,145,128,67,73,119,107,6,5,2.0,2039.0,107,97,8,1,1.57,Kokkinakis T.,175.0,22,32,17,22,18,23,2,1,2.0,9979.0,24,22,2,3,2.25,0,0,0.0
Querrey S.,14.0,142,114,92,76,114,93,6,5,2.0,2892.0,106,104,5,4,1.66,Shapovalov D.,46.0,19,17,18,15,15,14,2,0,2.0,2506.0,17,18,0,6,2.1,0,0,1.0
Fognini F.,18.0,178,124,69,63,153,103,9,4,2.0,2416.0,98,71,6,3,2.75,Kyrgios N.,20.0,108,60,76,38,77,41,9,2,1.0,2485.0,87,61,4,5,1.4,0,0,1.0
Anderson K.,8.0,186,117,130,80,140,97,6,4,2.0,3875.0,149,113,6,6,1.44,Khachanov K.,41.0,52,46,29,32,44,40,1,2,2.0,1881.0,40,38,1,0,2.62,0,0,0.0
Sock J.,11.0,147,94,108,69,125,76,8,4,3.0,2880.0,101,83,3,4,2.25,Coric B.,36.0,82,82,51,53,73,68,4,3,3.0,2446.0,55,48,2,5,1.57,1,0,1.0
Zverev A.,5.0,123,71,66,42,109,60,6,3,3.0,5464.0,84,61,3,9,1.57,Ferrer D.,35.0,235,113,133,69,181,93,12,5,3.0,2011.0,103,97,5,7,2.25,1,2,0.0
Berdych T.,13.0,245,110,168,75,179,90,18,5,3.0,2384.0,127,102,4,2,1.36,Tiafoe F.,63.0,18,33,17,26,16,25,3,1,3.0,2471.0,18,26,0,7,3.0,0,0,1.0
Cilic M.,3.0,207,99,134,62,149,81,6,4,2.0,5592.0,141,85,9,7,1.4,Isner J.,17.0,189,113,132,75,153,93,10,5,2.0,2759.0,232,145,3,4,3.0,4,2,1.0
Chung H.,23.0,53,47,38,34,43,39,3,3,2.0,2046.0,23,34,1,8,1.16,Sousa J.,80.0,125,146,71,84,108,127,6,5,2.0,1718.0,76,79,5,4,5.0,0,0,0.0
Raonic M.,25.0,208,93,141,61,151,74,12,5,1.0,3850.0,158,102,6,5,1.4,Chardy J.,90.0,124,126,76,75,94,106,7,5,2.0,5240.0,104,90,5,4,3.0,5,0,0.0
Del Potro J.M.,6.0,140,51,117,38,117,42,4,4,2.0,5570.0,83,48,1,2,1.2,Krajinovic F.,27.0,23,28,20,21,22,22,3,1,2.0,2614.0,10,17,0,0,4.5,0,0,0.0
Carreno Busta P.,19.0,77,48,42,26,60,41,2,1,1.0,2985.0,54,34,3,4,1.72,Verdasco F.,39.0,146,128,68,73,120,107,7,5,1.0,1579.0,108,97,8,1,2.1,2,0,0.0
Coric B.,36.0,83,82,52,53,74,68,5,3,0.0,3701.0,56,49,2,5,1.53,Shapovalov D.,46.0,20,17,19,15,16,14,3,0,1.0,3341.0,18,18,0,6,2.5,0,0,0.0
Anderson K.,8.0,187,117,131,80,141,97,7,4,1.0,4455.0,149,113,6,6,1.36,Tiafoe F.,63.0,19,33,18,26,17,25,4,1,0.0,3119.0,19,27,0,7,3.25,1,0,0.0
Zverev A.,5.0,124,71,67,42,110,60,7,3,1.0,5875.0,84,61,3,9,2.37,Kyrgios N.,20.0,109,60,77,38,78,41,10,2,2.0,4100.0,87,61,4,5,1.57,1,3,0.0
Isner J.,17.0,190,113,133,75,154,93,11,5,1.0,7075.0,233,145,3,4,2.5,Chung H.,23.0,54,47,39,34,44,39,4,3,1.0,2407.0,23,34,1,8,1.53,2,1,0.0
Del Potro J.M.,6.0,141,51,118,38,118,42,5,4,2.0,5694.0,83,48,1,2,1.4,Raonic M.,25.0,209,93,142,61,152,74,13,5,2.0,2270.0,158,102,6,5,3.0,2,2,0.0
Anderson K.,8.0,188,117,132,80,142,97,8,4,2.0,4079.0,150,113,6,6,1.44,Carreno Busta P.,19.0,78,48,43,26,61,41,3,1,2.0,3305.0,54,34,3,4,2.75,3,0,1.0
Zverev A.,5.0,125,71,68,42,111,60,8,3,2.0,6450.0,84,61,3,9,1.61,Coric B.,36.0,84,82,53,53,75,68,6,3,3.0,2442.0,57,49,2,5,2.25,0,2,0.0
Del Potro J.M.,6.0,142,51,119,38,119,42,6,4,1.0,5785.0,85,49,1,2,1.5,Isner J.,17.0,191,113,134,75,155,93,12,5,2.0,3897.0,233,145,3,4,2.62,3,3,1.0
Zverev A.,5.0,126,71,69,42,112,60,9,3,1.0,5871.0,84,61,3,9,1.4,Carreno Busta P.,19.0,79,48,44,26,62,41,4,1,2.0,5280.0,55,35,3,4,3.0,0,0,0.0
Zverev A.,5.0,127,71,70,42,113,60,10,3,1.0,6550.0,85,61,3,9,1.66,Isner J.,17.0,192,113,135,75,156,93,13,5,2.0,6325.0,234,145,3,4,2.2,3,0,1.0
Laaksonen H.,143.0,15,23,7,10,15,21,0,0,166.0,1457.0,12,15,0,0,1.72,Brown D.,152.0,48,67,16,22,40,52,3,2,61.0,994.0,40,46,2,5,2.0,0,0,0.0
Sandgren T.,56.0,8,13,1,5,4,10,0,1,18.0,1682.0,7,9,1,0,1.28,Kavcic B.,128.0,19,39,7,11,12,29,0,0,41.0,1211.0,14,19,1,4,3.5,0,0,0.0
Thompson J.,99.0,13,30,3,4,10,19,0,0,83.0,1154.0,11,17,2,1,2.25,Fratangelo B.,108.0,14,24,3,5,12,16,0,1,19.0,849.0,9,12,0,1,1.57,0,0,1.0
Verdasco F.,36.0,146,129,63,42,120,108,11,4,14.0,3305.0,108,97,8,1,1.22,Kudla D.,122.0,26,51,2,7,18,38,1,2,82.0,4332.0,15,32,3,4,4.0,1,0,1.0
Tiafoe F.,58.0,19,34,0,5,17,26,0,2,14.0,4079.0,19,28,0,7,1.28,Mcdonald M.,142.0,1,7,0,0,0,5,0,0,41.0,4842.0,0,2,0,9,3.5,0,0,0.0
Karlovic I.,88.0,141,114,26,23,121,95,0,2,20.0,1367.0,180,164,6,5,1.72,Daniel T.,111.0,15,38,10,19,12,29,0,0,28.0,1583.0,15,21,2,2,2.0,0,0,0.0
Kicker N.,87.0,17,22,13,13,14,18,1,2,18.0,1492.0,10,10,1,0,1.44,Young D.,130.0,85,96,6,13,71,78,3,4,19.0,1586.0,54,42,3,7,2.62,0,0,0.0
