Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset
Cilic M.,14.0,100,49,62,25,69,40,0,0,3.0,3550.0,72,31,6,4,1.36,Young D.,51.0,39,43,34,31,30,34,1,1,30.0,6440.0,20,20,3,1,3.0,0,0,0.0
Chardy J.,27.0,79,74,45,41,56,63,4,2,1.0,2208.0,74,55,3,0,2.0,Muller G.,43.0,33,34,24,23,28,26,2,1,1.0,3435.0,38,27,1,2,1.72,0,1,1.0
Simon G.,10.0,100,65,60,39,77,54,4,1,1.0,3111.0,61,48,7,2,1.25,Vesely J.,40.0,36,46,17,19,30,36,1,0,2.0,1258.0,29,34,2,2,3.75,0,0,0.0
Nishikori K.,6.0,132,46,89,31,103,34,8,1,2.0,5616.0,58,37,5,3,1.14,Querrey S.,50.0,71,62,45,40,59,50,1,0,2.0,2025.0,57,56,1,4,5.5,2,0,0.0
Wawrinka S.,4.0,130,53,71,32,83,43,1,1,1.0,6192.0,91,46,2,5,1.11,Ito T.,127.0,13,23,7,14,11,18,2,2,2.0,821.0,11,14,1,0,6.5,0,1,0.0
Sousa J.,45.0,66,74,37,41,58,63,1,0,1.0,2991.0,39,37,3,6,1.3,Krajicek A.,124.0,7,11,6,7,6,10,1,0,2.0,880.0,11,9,0,0,3.4,0,0,1.0
Cilic M.,14.0,101,49,63,25,70,40,1,0,1.0,3131.0,73,32,6,4,1.33,Johnson S.,48.0,53,53,38,33,47,41,3,1,2.0,2490.0,38,44,3,3,3.25,0,0,0.0
Bautista R.,22.0,102,67,56,40,80,55,1,1,2.0,3955.0,57,38,5,1,1.72,Kyrgios N.,34.0,32,24,15,13,15,14,1,0,2.0,1828.0,39,32,3,3,2.0,0,0,1.0
Paire B.,32.0,62,63,30,31,48,52,1,0,2.0,2742.0,39,43,4,2,1.66,Baghdatis M.,49.0,44,50,33,33,34,39,1,1,2.0,1927.0,27,34,3,2,2.1,1,1,0.0
Simon G.,10.0,101,65,61,39,78,54,5,1,2.0,3572.0,61,48,7,2,1.44,Muller G.,43.0,34,34,25,23,29,26,3,1,2.0,2370.0,40,27,1,2,2.62,2,0,1.0
Wawrinka S.,4.0,131,53,72,32,84,43,2,1,2.0,6449.0,91,46,2,5,1.12,Krajicek A.,124.0,8,11,7,7,7,10,2,0,1.0,1401.0,11,9,0,0,6.0,0,0,0.0
Nishikori K.,6.0,133,46,90,31,104,34,9,1,2.0,5440.0,59,37,5,3,1.3,Cilic M.,14.0,102,49,64,25,71,40,2,0,1.0,3185.0,73,32,6,4,3.4,4,1,0.0
Paire B.,32.0,63,63,31,31,49,52,2,0,1.0,2094.0,40,43,4,2,2.62,Kyrgios N.,34.0,33,24,16,13,16,14,2,0,1.0,2635.0,39,32,3,3,1.44,1,0,0.0
Wawrinka S.,4.0,132,53,73,32,85,43,3,1,1.0,6455.0,91,46,2,5,1.33,Muller G.,43.0,35,34,26,23,30,26,4,1,1.0,3535.0,40,27,1,2,3.4,2,0,0.0
Nishikori K.,6.0,134,46,91,31,105,34,10,1,1.0,6810.0,60,37,5,3,1.2,Paire B.,32.0,64,63,32,31,50,52,3,0,1.0,2312.0,40,43,4,2,4.5,1,1,1.0
Wawrinka S.,4.0,133,53,74,32,86,43,4,1,1.0,7010.0,92,46,2,5,1.25,Paire B.,32.0,65,63,33,31,51,52,4,0,1.0,5727.0,40,43,4,2,4.0,2,1,0.0
