Predicted prob,Predicted variance,Odds1,Odds2,Result
0.3225421,0.3225421,1.14,5.5,0.0
0.22388071,0.22388071,4.0,1.25,1.0
0.296799,0.296799,1.25,4.0,1.0
0.27926007,0.27926007,1.11,6.5,1.0
0.1320666,0.1320666,2.3,1.61,0.0
0.3185818,0.3185818,1.06,10.0,1.0
0.3594425,0.3594425,1.72,2.1,0.0
0.10925797,0.10925797,2.1,1.72,1.0
0.45189354,0.45189354,1.01,23.0,0.0
0.2615021,0.2615021,2.37,1.57,1.0
0.3237727,0.3237727,1.01,23.0,0.0
0.41402376,0.41402376,1.72,2.1,0.0
0.31115085,0.31115085,1.07,9.0,0.0
0.46078503,0.46078503,2.75,1.44,0.0
0.12534592,0.12534592,3.0,1.4,1.0
0.04760048,0.04760048,29.0,0.967,0.0
0.14879695,0.14879695,1.66,2.2,0.0
0.26094526,0.26094526,2.2,1.66,1.0
0.21924792,0.21924792,1.03,15.0,0.0
0.30977774,0.30977774,1.06,10.0,0.0
0.1540135,0.1540135,1.08,8.0,1.0
0.31688723,0.31688723,1.2,4.5,0.0
0.1880914,0.1880914,1.9,1.9,1.0
0.17944966,0.17944966,1.72,2.1,0.0
0.066042766,0.066042766,2.0,1.8,0.0
0.3863446,0.3863446,1.8,2.0,0.0
0.15708022,0.15708022,1.44,2.75,1.0
0.32817283,0.32817283,1.05,11.0,0.0
0.3689491,0.3689491,1.28,3.75,0.0
0.3087421,0.3087421,1.04,13.0,0.0
0.31024578,0.31024578,1.16,5.0,1.0
0.38579077,0.38579077,1.28,3.75,0.0
0.41478172,0.41478172,1.8,2.0,0.0
0.3331643,0.3331643,1.06,10.0,0.0
0.298236,0.298236,1.08,8.0,1.0
0.40473363,0.40473363,1.33,3.4,0.0
0.28884453,0.28884453,1.44,2.75,1.0
0.23732507,0.23732507,1.44,2.75,1.0
0.21414071,0.21414071,2.75,1.44,1.0
0.3898864,0.3898864,1.12,6.0,0.0
0.29512325,0.29512325,1.4,3.0,0.0
0.27246195,0.27246195,1.44,2.75,0.0
0.18636274,0.18636274,1.02,19.0,0.0
0.15455371,0.15455371,1.9,1.9,1.0
0.099558756,0.099558756,1.53,2.5,0.0
0.18724051,0.18724051,1.5,2.62,0.0
0.16804,0.16804,2.1,1.72,1.0
0.04203351,0.04203351,1.01,26.0,0.0
0.3179562,0.3179562,1.25,4.0,1.0
0.042684652,0.042684652,1.53,2.5,1.0
0.16819951,0.16819951,1.36,3.2,0.0
0.2736547,0.2736547,1.16,5.0,0.0
0.3491876,0.3491876,1.3,3.5,0.0
0.118323795,0.118323795,1.11,6.5,0.0
0.36197367,0.36197367,1.3,3.5,0.0
0.37478578,0.37478578,1.14,5.5,0.0
0.33052954,0.33052954,1.61,2.3,0.0
0.13343108,0.13343108,1.16,5.0,0.0
0.10971716,0.10971716,2.5,1.53,0.0
0.32924798,0.32924798,1.12,6.0,0.0
0.17464492,0.17464492,29.0,0.967,0.0
0.21284595,0.21284595,1.02,19.0,0.0
0.23612043,0.23612043,1.07,9.0,0.0
0.44893947,0.44893947,1.3,3.5,0.0
0.18585919,0.18585919,1.14,5.5,0.0
0.15128131,0.15128131,1.36,3.2,0.0
0.35666907,0.35666907,1.8,2.0,0.0
0.1391851,0.1391851,1.2,4.5,0.0
0.34118035,0.34118035,1.981507936507937,5.216777777777779,1.0
0.34627667,0.34627667,1.44,2.75,0.0
0.1001109,0.1001109,1.05,11.0,0.0
0.11553283,0.11553283,1.1,7.0,0.0
0.21271609,0.21271609,1.12,6.0,0.0
0.34659454,0.34659454,2.75,1.44,1.0
0.02430427,0.02430427,1.06,10.0,0.0
0.18780336,0.18780336,1.16,5.0,0.0
0.24726288,0.24726288,1.44,2.75,0.0
0.06148298,0.06148298,3.0,1.4,0.0
0.3077603,0.3077603,1.4,3.0,0.0
