Predicted prob,Predicted variance,Odds1,Odds2,Result
0.1988504,0.1988504,1.05,11.0,0.0
0.07614547,0.07614547,1.4,3.0,0.0
0.28060162,0.28060162,1.16,5.0,0.0
0.16298756,0.16298756,1.28,3.5,0.0
0.43420464,0.43420464,1.3,3.4,1.0
0.3518831,0.3518831,2.0,1.72,1.0
0.3020085,0.3020085,1.53,2.37,0.0
0.27858332,0.27858332,2.0,1.72,1.0
0.34479266,0.34479266,1.53,2.37,1.0
0.28092203,0.28092203,2.37,1.53,1.0
0.24116683,0.24116683,1.53,2.37,0.0
0.320333,0.320333,1.36,3.0,1.0
0.20687224,0.20687224,1.5,2.5,0.0
0.16512355,0.16512355,1.33,3.25,0.0
0.23996203,0.23996203,2.37,1.53,1.0
0.24019383,0.24019383,1.28,3.5,0.0
0.26516366,0.26516366,1.36,3.0,0.0
0.16178697,0.16178697,1.66,2.1,0.0
0.33645993,0.33645993,1.83,1.83,1.0
0.2775124,0.2775124,1.72,2.0,0.0
0.2905464,0.2905464,1.83,1.83,1.0
0.41714627,0.41714627,1.28,3.5,0.0
0.3352563,0.3352563,1.44,2.62,0.0
0.4729431,0.4729431,1.53,2.37,0.0
0.29766947,0.29766947,1.4,2.75,0.0
0.43677753,0.43677753,2.0,1.72,1.0
0.048896283,0.048896283,1.1,7.0,0.0
0.37635323,0.37635323,1.04,13.0,0.0
0.42903775,0.42903775,1.44,2.62,1.0
0.30221114,0.30221114,1.66,2.1,0.0
0.33109245,0.33109245,1.3,3.4,0.0
0.37349367,0.37349367,1.3,3.4,1.0
0.27296272,0.27296272,1.3,3.4,0.0
0.34591433,0.34591433,1.53,2.37,1.0
0.43116358,0.43116358,1.57,2.25,0.0
0.36658332,0.36658332,1.57,2.25,1.0
0.2467596,0.2467596,1.5,2.5,0.0
0.26942495,0.26942495,1.53,2.37,1.0
0.1784757,0.1784757,2.37,1.53,1.0
0.33910596,0.33910596,2.37,1.53,0.0
0.39338914,0.39338914,1.3,3.4,0.0
0.29673296,0.29673296,2.2,1.61,0.0
0.4110787,0.4110787,1.5,2.62,1.0
0.19125645,0.19125645,1.53,2.5,1.0
0.24036667,0.24036667,1.44,2.75,0.0
0.41396964,0.41396964,1.4,3.0,0.0
0.1620976,0.1620976,1.36,3.2,0.0
0.16930345,0.16930345,1.08,8.0,1.0
0.38444418,0.38444418,1.44,2.75,1.0
0.15731223,0.15731223,1.06,10.0,0.0
0.1491229,0.1491229,1.25,4.0,1.0
0.15063266,0.15063266,1.44,2.75,0.0
0.30723038,0.30723038,1.3,3.5,0.0
0.13154234,0.13154234,1.04,13.0,0.0
0.23873127,0.23873127,1.44,2.75,0.0
0.06351429,0.06351429,1.33,3.4,1.0
0.39695144,0.39695144,1.4,3.0,0.0
0.25773716,0.25773716,1.66,2.1,1.0
0.31784192,0.31784192,1.66,2.1,0.0
0.34980616,0.34980616,2.1,1.66,1.0
0.25136063,0.25136063,2.1,1.66,1.0
0.44056472,0.44056472,1.72,2.0,1.0
0.3913919,0.3913919,1.33,3.25,1.0
0.26612923,0.26612923,2.2,1.61,0.0
0.3804826,0.3804826,1.83,1.83,1.0
0.37141064,0.37141064,1.4,2.75,0.0
0.29882592,0.29882592,1.05,11.0,0.0
0.298823,0.298823,2.1,1.66,0.0
0.31433782,0.31433782,2.25,1.57,0.0
0.123619474,0.123619474,1.25,3.75,0.0
0.36079183,0.36079183,1.36,3.0,0.0
0.44838327,0.44838327,1.3,3.4,0.0
0.32858422,0.32858422,2.2,1.61,1.0
0.35786766,0.35786766,1.36,3.0,0.0
0.39822716,0.39822716,1.57,2.25,1.0
0.18944629,0.18944629,1.5,2.5,0.0
0.24726476,0.24726476,1.36,3.0,0.0
0.4045469,0.4045469,1.18,4.5,0.0
0.34020418,0.34020418,1.61,2.2,0.0
0.33284003,0.33284003,1.66,2.1,0.0
0.3711352,0.3711352,1.57,2.25,0.0
0.34043267,0.34043267,1.72,2.0,0.0
0.3300218,0.3300218,1.574966013396195,3.703268667824501,1.0
0.4160858,0.4160858,1.5,2.5,0.0
0.25682122,0.25682122,1.28,3.5,0.0
0.30334586,0.30334586,1.44,2.62,0.0
0.31349647,0.31349647,1.36,3.0,0.0
0.27374455,0.27374455,1.33,3.25,0.0
0.36854696,0.36854696,1.53,2.37,0.0
0.26967943,0.26967943,1.53,2.5,0.0
0.43460652,0.43460652,1.8,2.0,0.0
0.39165026,0.39165026,2.75,1.44,1.0
0.44182882,0.44182882,2.2,1.66,1.0
0.38602766,0.38602766,1.66,2.2,0.0
0.40370074,0.40370074,1.36,3.2,0.0
0.27902508,0.27902508,2.0,1.8,1.0
0.29606858,0.29606858,1.8,2.0,1.0
0.10215818,0.10215818,2.2,1.66,0.0
0.28803253,0.28803253,2.37,1.57,1.0
0.3042037,0.3042037,1.8,2.0,0.0
0.32729912,0.32729912,1.9,1.9,0.0
0.16141161,0.16141161,2.5,1.53,0.0
0.39437127,0.39437127,1.53,2.5,1.0
0.44363317,0.44363317,2.62,1.5,1.0
0.17300375,0.17300375,1.2,4.5,0.0
0.36855122,0.36855122,1.4,3.0,0.0
0.26288798,0.26288798,1.57,2.37,0.0
0.30495796,0.30495796,2.37,1.57,1.0
0.41618952,0.41618952,1.28,3.75,1.0
0.2742452,0.2742452,1.66,2.2,0.0
0.21722722,0.21722722,1.07,9.0,0.0
0.36692664,0.36692664,1.28,3.75,0.0
0.25641626,0.25641626,2.0,1.8,1.0
0.3980792,0.3980792,1.02,19.0,0.0
0.085115105,0.085115105,2.1,1.72,1.0
0.42004725,0.42004725,9.0,1.07,0.0
0.15149273,0.15149273,1.06,10.0,0.0
0.22181222,0.22181222,1.005,34.0,0.0
0.3399345,0.3399345,4.5,1.2,1.0
0.1077654,0.1077654,3.4,1.33,1.0
0.44940042,0.44940042,1.33,3.4,1.0
0.40983427,0.40983427,1.08,8.0,0.0
0.39403197,0.39403197,1.3,3.5,1.0
0.33107644,0.33107644,2.75,1.44,1.0
0.25835872,0.25835872,1.44,2.75,0.0
0.2984239,0.2984239,1.4,3.0,0.0
0.30458334,0.30458334,1.22,4.33,0.0
0.35603404,0.35603404,1.33,3.4,1.0
0.27834532,0.27834532,1.66,2.2,0.0
0.20967613,0.20967613,1.9,1.9,1.0
0.32605973,0.32605973,1.28,3.75,1.0
0.28874877,0.28874877,1.3,3.5,0.0
0.3673118,0.3673118,1.72,2.1,1.0
0.44782826,0.44782826,1.16,5.0,0.0
0.27554652,0.27554652,1.61,2.3,0.0
0.4234302,0.4234302,1.005,29.0,0.0
0.37008348,0.37008348,2.3,1.61,1.0
0.37575758,0.37575758,2.2,1.66,0.0
0.38281044,0.38281044,1.44,2.75,0.0
0.23006046,0.23006046,1.08,8.0,1.0
0.32131556,0.32131556,1.53,2.5,0.0
0.39625323,0.39625323,1.53,2.5,1.0
0.29136235,0.29136235,1.61,2.3,0.0
0.4328836,0.4328836,1.14,5.5,0.0
0.29202503,0.29202503,1.28,3.75,0.0
0.13827986,0.13827986,2.0,1.8,1.0
0.15332629,0.15332629,1.2,4.5,1.0
0.079771355,0.079771355,1.2,4.5,0.0
0.40330327,0.40330327,1.44,2.75,0.0
0.35206077,0.35206077,1.16,5.0,1.0
0.23476705,0.23476705,1.36,3.2,0.0
0.23655,0.23655,1.4,3.0,1.0
0.2663702,0.2663702,1.16,5.0,1.0
0.28037775,0.28037775,1.2,4.5,0.0
0.37854362,0.37854362,1.44,2.75,1.0
0.42972243,0.42972243,1.12,6.0,1.0
0.35757664,0.35757664,1.9,1.9,1.0
0.27573323,0.27573323,1.25,4.0,0.0
0.24801496,0.24801496,1.22,4.33,0.0
0.23073126,0.23073126,1.25,4.0,0.0
0.39744207,0.39744207,2.3,1.61,1.0
0.35067403,0.35067403,1.25,4.0,0.0
0.24477515,0.24477515,1.5,2.62,1.0
0.36420834,0.36420834,2.2,1.66,1.0
0.41291738,0.41291738,1.66,2.2,1.0
0.07998835,0.07998835,1.22,4.33,0.0
0.27278212,0.27278212,1.02,17.0,0.0
0.2558756,0.2558756,1.4,3.0,0.0
0.22628237,0.22628237,1.61,2.3,1.0
0.17071123,0.17071123,1.16,5.0,0.0
0.3539832,0.3539832,1.03,15.0,0.0
0.056183804,0.056183804,1.01,26.0,0.0
0.32235533,0.32235533,1.4,3.0,1.0
0.3810328,0.3810328,1.08,8.0,0.0
0.36318982,0.36318982,4.5,1.2,1.0
0.23352005,0.23352005,1.66,2.2,1.0
0.30787906,0.30787906,1.72,2.1,1.0
0.15395358,0.15395358,1.44,2.75,1.0
0.07926355,0.07926355,1.5,2.62,0.0
0.3301854,0.3301854,1.08,8.0,1.0
0.23214172,0.23214172,1.44,2.75,1.0
0.3249565,0.3249565,4.0,1.25,1.0
0.076484226,0.076484226,1.36,3.2,0.0
0.27179655,0.27179655,1.02,19.0,0.0
0.38022557,0.38022557,1.53,2.5,0.0
0.26073048,0.26073048,1.44,2.75,1.0
0.27429157,0.27429157,1.25,4.0,0.0
0.34473032,0.34473032,1.72,2.1,0.0
0.34839144,0.34839144,1.72,2.1,1.0
0.34136102,0.34136102,2.62,1.5,0.0
0.31441453,0.31441453,1.33,3.4,1.0
0.4054114,0.4054114,1.07,9.0,0.0
0.07980103,0.07980103,3.2,1.36,1.0
